query_id,cleaned_query,label
57241,farmer want to know information about how to control defoliators in soybean crop,6
79374,asking about the application of micro nutrient in ridge gourd,5
95083,aam me baur me kit lag rahe hai,6
15413,dhan ke phasal me bikher de,1
50337,information regarding weather report of seraj,0
39464,information about potato,0
36666,chilli nutrient management,5
79257,pod borer problem in pigeon pea,6
49847,weather information in auriya,8
24097,weather report of sagar south 24 parganas district,8
58185,farmer need information regarding control measures of caterpillars attack in arhar crop,6
50415,asking about brinjal ash weevils management,6
8237,farmer wants to know information about weather in damoh dist,8
12343,apray schedule in apple,6
74439,paddy sucking pest,6
98738,farmer asked about market rate of tomato,4
71566,asking about bud borer management in castor,6
71080,pod borer in gram,6
27175,asking about weather detail for villupuram dist,8
89360,fertilizer dose in maize crop,1
94821,asking about brown spot in paddy,6
3521,farmer wants to know information about weather forecasting for raisen district in madhya pradesh,8
1216,tell me sowing time of aloevera,2
1684,jhulsa problem,8
90160,leaf folder management in paddy,6
93827,tell me about disease control in plant protaction,6
43021,farmer want to know about new variety of soybean crop,7
53736,ell me variety of bajra,7
10179,information regarding nutrient management,5
23681,weather information,8
34865,asking about drip irrigation schedule in watermelon,1
87523,tmater ki keti,6
76787,farmer needs information regarding how to control sucking pest in chilies crop,6
82451,information blast control in paddy crop,5
31867,asking about amaranthus season and sowing,2
38789,san jose scale in apple,6
52969,plant protection of jack fruit,6
65197,weed management in sugarcane crop,9
66277,fertilizer dose for cotton,1
47918,arhal pod borer problem,6
100234,asked about perambalur weather report information,8
79978,tell me root rot control in guar,6
18697,information regarding fertilizer dose in onion,0
36990,tell me aphid control in bottol gourd,6
38165,pin scab in apple,6
55926,weed control in jowar crop,9
64093,information regarding how to control damping off in plant,6
69684,khara disease problem in paddy crop,0
87922,asking about control of mites in pumpkin,6
76246,insect control in bitter gourd,6
32091,asking about cashew foliar application,6
18251,tell me contact number marketing board rajasthan,2
3052,asked about attack blight on ginger,0
26006,asking about weather information,6
43679,asking about suitable maize varieties,0
86157,tell me control of flower droping in lahsoda,6
27801,information regarding weather in mahendragarh,8
24743,farmer want to know information about weather forecast in ichhawar tehsil in sehore district,8
50054,asked about attack of jassids in watermelon,6
58325,tell me thrips in tinda,6
47698,farmer need weather information of your harda district of madhya pradesh,8
77016,weather report of dhupguri jalpaiguri,8
5870,asking about thiruvannamalai district weather report,8
10522,regarding rusting in apple trees,6
94895,information regarding weather in mahendragarh,8
70249,asking about green leaf hopper in paddy,6
35288,mausam muzaffer nagar ka mausam batao,8
75505,fertilizer management in paddy crop,1
97476,asking about root grub medicinal coleus,6
30765,how to control fungal disease in bottle gourd crop,6
30445,asking about bitter gourd thrips management,6
16683,tell em about insect control in cotton,6
55023,growth and development of paddy,8
8287,cotact bao,2
77426,insect problem in bottle gourd,6
16651,dhan ki fasal me grouth ke liye kya dale,5
42960,loan ki jnakari de,4
9649,tell me pest control of soybean,6
73790,asking about white grub chilli,6
38081,tell me insect control in lab lab,6
92421,asked about fertilizer spray in cotton,1
81582,asking about bellary onion sowing season,0
86346,irrigation problem in pea crop,0
46820,asking about brinjal spacing details,0
89485,tell me sowing time pomegranate,6
70924,asking about department of millets tnau coimbatore641003,0
15617,weather report of jangipara block in hooghly district,8
15866,termite problem in sugarcane,0
65445,tell me info about ag subsidy,3
18752,asked about attack of pink boll worm adult in cotton,3
85745,asking about sowing season for cowpea,2
16865,tell me no rainfall next five days,8
68045,farmer want to know information about weather of your khargaon district,8
46897,farmer want to know information about number activate in sms facility,6
60091,tell me aout the control of insect insect in soybean,6
66509,information regarding weather of sirsa,8
54418,insect problem in guava,6
1985,regarding flower fall,8
81666,tell me vareity of castor,7
96972,tell me root rot control in cumin,6
15241,farmer want to know information about weather information at badnawar sub district in mp,8
79471,tell me about aphid control in guava,6
49465,farmer want to know information about how to control of fungal attack in brinjal crop,6
9103,farmer wants to know about weather forecasting for your multai tehsil of madhya pradesh,8
10599,tell me weather eport in jodhpur,8
90371,fruit borer in bhindi,6
65444,mausam ki jankari de,0
98401,asking about for flowering on cotton,5
98357,farmer wants to knows information about weather forecasting in ashoknagar district,8
7260,tell me insect control in cotton,0
74213,farmer wants to know information about weather forecast in district,8
62867,crop insurance office ka number chahiye,8
72106,bhindi ki pattiyan sookh rahi hai,6
66881,control of red rust in mango,6
950,mandi bhav ki jankari,8
63319,asking about market rate for bhendi,4
86946,information regarding contact number of pau,3
81604,plz tell me weather information for budhana,8
84494,asking about root formation for jasmine,0
16121,brinjal attack of stem borer,6
26592,asked about tuticorin weather report information,8
82552,plant protection in paddy crop,8
90278,farmer want to know information about weather of your depalpur tehshil indore district,8
47744,farmer want to know information about how to control defoliators in soybean,6
70042,asking about sugarcane cultivation,8
28756,asking about sucking pest in maize,6
23388,drooping of flowering,6
15199,asking about weather report in east midnapurramnagar block,8
25987,fertilizer dose in garlic,1
90805,farmer need information regarding control measures of caterpillars attack in pumpkin crop,6
21273,tell me control of bacterial blight disease in gram,6
64054,asking about contact number for tindivanam regulated market,4
64998,chane ke phool gir rahe hai,6
80010,asking about viluppuram regulated market contact number,4
30879,fruit dropping in coconut,5
49562,asking about fruit borer management in tomato,6
28842,tell me contact number rajfed jaipur,2
7129,asked about top dressing fertilizer management for paddy,1
26630,asking about foliar application for chilli,5
80524,tomato hybrid variety information,0
11409,sugarcane attack of white gurb,6
66756,fcs ki jankari,1
38600,weather informetion,8
57974,tell me whitefly control in gudhal,6
43320,top shoot borer control in sugarcane crop,6
540,asking about weather forecast tahsil,6
69371,leaf caterpillar control in urd crop,6
17614,castor fertilizer management,1
15227,information regarding the deficiency of boron in citrus,0
45785,ask about fertilizer,6
96682,regarding leaf problem in pear,6
94608,cauliflower varity,0
49822,information maize,1
29862,farmer wants to know information about weather of khargoan district,8
41660,asking about control of red pumpkin beetles in watermelon,6
100207,weed control in sesame,9
73549,information weed control in the sugarcane crop,9
64312,tell me nutrient management in chili,1
47785,regarding calcium chloride spray in apple,6
37423,chilli root rot management,6
71407,plant protection in cabbage crop,6
77815,alternaria in apple,6
33977,asking about sesame sowing season,0
9651,farmer want to know information about how to control sucking pest in black gram crop,6
13337,plz tell me weather information for jhansi,8
70077,asking about samba season paddy varieties,0
19484,farmer need weather information of khargone district of madhya pradesh,8
17399,tell me pant krishi bhawna,2
43882,asking about yellow mosaic virus in bhendi,6
39042,information regarding fungal dieases in chana crop,2
5229,frtilizer information insugar cane crops,1
14858,asking about groundnut leaf eating caterpillar management,6
30301,information regarding to weather in yamunanagar,8
90533,asking about foliar spray for plant growth regulator in groundnut,4
31568,national centre of organic farming,3
32200,asking about top fertilizer management in tapioca,1
54069,information regarding weather in palwal,8
42338,tell me about subsudy in rotraveter,3
30501,weather of mandi,6
7463,information of 3 hp solar pump,3
11607,asking about government schemes,3
83641,tell me insect contro in cotton,6
96250,tell me thirps control in cotton,6
69438,chana cut worm,6
48045,mirch ki phasal me phul or phal kan ban rahe hai,6
90512,ground nut sucking pest,6
36158,farmer needs information regarding weather for ratlam dist,8
95107,farmer wants to know information about weather in agar dist,8
75145,growth information in chilli crop,0
35801,asking aboweather forecast,8
32737,regarding pin scab problem in apple,6
31254,tarmite problem in paddy crop,8
62710,asking about weather forecast in osmanabad district,8
34738,farmer want to know information about weather of your gyaraspur vidisha district,8
42720,farmer wants to knows information about weather forecasting,3
91564,tell me growth in grounndut,1
75685,tell me about disease control in cucumber,6
64522,saking pest of spong gourd,8
99740,asking about guava planting and plant population,5
5856,asked about attack of caterpillar on turmeric,6
79879,hau helpline no,0
55943,farmer want to know information about how to increase growth of bengal gram,5
99597,paddy nursery pest management,0
29084,leaf folder in paddy crop,6
92783,farmer need weather information of your goharganj tehsil in raisen district of madhya pradesh,8
97360,information regarding weather report of nahan,8
15859,tell me insect control in marigold,6
95930,weather information district,8
54687,asking about jasmine basal fertilizers,1
42172,asked about sucking pest management in banana,5
38597,asking about department of spices and plantation coimbatore contact number,0
62054,growth management,5
61515,animal husbandry toll free no,4
80852,information regarding weather report of arki,8
76548,asked about kancheepuram today weather report,5
56185,asking about ragi top dressing fertilizer management,1
58747,asked about bottle gourd sowing season,5
36422,nutrient use in clillies gram,5
3097,fertilizer spray for growth of cabbage,5
52561,farmer want to know information about weather in your rajgarh district,8
94991,control of tobacco caterpillar in bengal gram,6
5073,asked about coconut rhinocerous beetle grub management,6
89987,information regarding to weather mewat,8
67390,alovera ki sakars chahiye,0
16431,plant protection of sugarcan,6
78077,tell me weather information of nagor,6
62351,control for leaf folder in wheat crop,6
82817,asking about weather report for thiruvidaimaruthur,8
19428,matar ke bej kisse upcharit kare,0
42972,information about paddy seed treatment,8
28065,farmer wants to know information about weather forecast of basoda at vidisha district,8
52893,asking about brinjal foliar application,6
82973,insect control in paddy crop,6
41800,informetion about weather,8
91471,weather of rajgrah,6
37762,tell me weed control in stending crop of soybean,9
1846,tell me white grub control in onion,6
7101,seed treatment of moog,0
52558,farmer need information regarding varieties of paddy crop,7
13957,spray schedule in aple,6
66301,plant protection of kuduru,6
64384,fertilizer management in sugarcane,5
45085,polyhouse ki jankari,0
55837,aligarh ka mausam,8
67653,wether,8
95006,asking about pudukottai today weather report,8
5086,farmer needs information regarding weather forecast for sagar district,8
99333,asking about smut disease in sugarcane,6
11585,farmer need information regarding how to enhance growth of crop,8
66768,farmer wants to know about weather forecasting for your betul district of madhya pradesh,8
36353,tell me contact in gram,4
1163,tell me termite cotrol in long melon,6
24874,farmer want to know information about weather of your dewas cdistrict,8
74495,asking about beans foliar application,5
94532,farmer wants to know information about how to control of fungal attack in onion crop,6
67616,tell me about root rot diease control in bhindi,6
72,nutrient for mango,6
56290,tell me micro nutrient management in moong,5
72694,insect problem in musk melon,6
74543,farmer need weather information of bhopal district of madhya pradesh,7
45507,tell me disease control in bhindi,6
69923,farmer asked about market rate of soyabean,4
30064,information of fertilizer potato,6
68772,yellowness in paddy crop,0
90343,tell me control of flower dropping,8
75884,tell me variety of fodder sorghum,7
30232,tell me about insct control in califlwere,6
60758,black spot in cucumber,6
94457,tell me subsidy on vermicompost unit,3
60598,tell me disease control in long melon,6
844,fruit droping in mango,1
20258,control of shoot borer in brinjal,6
3295,tell me spray soluble npk 181818,5
22720,farmer need weather information of ashta tahsil of madhya pradesh,8
4333,information regarding use of stickers while spraying pesticide or fungicide,0
1076,asking about control of fruit rot in bottle gourd due to fungal effect,6
79355,tell me yellowing control in cumin,6
77080,tell me control of pest in potato,6
4748,ask about weather informations,8
43564,tell me about the control of insect in seasme,6
39238,how to control leaf carl in cotton crops spray500 ml trijophos 500ml nimbisidin in 200 lit in water acre,6
62528,rodent control infarmetion of wheat crop,2
12389,tell me cut worm control in moth bean,6
14363,arhar ka samarthan mulya,3
45406,tell me control jhulsa in jamun,6
61763,farmer wants to know information about weather of your khachrod block,8
526,farmer want to know information about weather information at district in mp,8
45025,fruit borer,6
15880,mirach me uaravak,6
28623,mirch ki prajati ki jankari de,6
96614,lucknow weather report,6
79330,farmer wants to know information about weather of district,8
78068,termites control in paddy,6
54819,asking about foliar spray for ixsora,5
62261,aphid insect problem in pea crop,6
3012,information about phasal bima,3
85217,tell me about pest control in wheat,6
12976,tell me variety of mustard,7
57178,tell me control of flower droping in pumkin,6
85588,flower dropping of labhera,6
89927,asking about jasmine weed management,0
93868,weather report of karimpur1 nadia district,8
82262,leaf spot in ridge gourd,6
42644,bacterial wilt control,6
86661,asking about thrips management in coconut,6
81025,about til cultivation,8
67118,variety of urd,7
14966,asking about mealy bug in papaya,6
28620,asking about planting season for chilli,0
22960,farmer need information regarding weed management in crop,2
68923,farmer want to know how to control sucking pest in chili crop,6
91940,farmer needs information regarding weather for rewa dist of state madhya pradesh,8
93652,neel gay charagah canrol of wheat crop,0
98223,plant protection of sugarcane,6
733,asking about weather report of jangipara block in hooghly district,8
86016,variety of urd,7
308,asking about weather report for palladam,8
10999,asking about gramapriya chick breeds availability,7
62335,tell me contact number for mushroom traning centre kvk ganganagar,3
42430,paddy leaf folder management,6
77122,tell me insect control in capcicum,6
21615,growth in lemon,1
11095,plz tell me weather information for purkaji,8
91763,market rate of wheat,4
14518,information regarding weather in karnal,2
33877,nutrient management of wheat crop,5
42896,lon ke liye,8
72428,information regarding weather in mewat,8
11906,farmer want to know information about how to control defoliators in urd,6
76495,kapas ki phol gir raha hai,3
19661,variety of sugarcane,7
80769,aam baur kira choos raha hai,6
33103,farmer wants to knows information about weather forecasting,8
67933,micronutrient deficiency of coconut,5
58021,fungus problem,6
42520,plant protection of pumpkin,6
36582,information regarding fertilizer dose in paddy crop,1
25009,tell me variety of castor,6
59198,query regarding to control aphids in cucumber,6
39664,asking about control jassids in bhendi,6
50403,snake gourd semilooper in cauliflower,6
93207,information regarding weather of rajgarh,8
64953,asking about avuri total yield,0
68455,tell me alkali soil solution,0
25548,termite control in paddy,6
24787,mausam ki jankari,8
60891,regarding the leaf problem in apple,6
6943,maize leaf spot control,6
85917,maize irrigated basal fertilizer management,5
19866,farmer want to know information about weather of your ujjain district,8
10447,mausam ke bare me bataye,9
87172,asking about control of leaf rot in guava,6
31511,farmer needs information regarding control measures of sucking pest soybean crop,6
61611,asked about control of red mite attack,6
25470,basal dose ammonium sulphate 80kg ssp 150kg after 30 days urea 80 kg after 90 days sulphure 25 kg,1
26746,asking about foliar nutrient application for onion,1
39505,tell me about boreer controle in tomato,6
36136,tell me cut worm control in moong,6
33169,plant protection in ribbed gourd crop,6
31060,asking about black pepper planting season and varieties,0
15818,tell me for control of termite in guava,6
81027,asking about induce the flowers in mango,5
65586,brown rust problem in wheat crop,6
72183,asking about weather report for viruthunagar district,8
20612,asking about sericulture department kancheepuram district contact number,4
60194,dhaan me futab ke lea kya dale,1
41988,weed management in cucumber,0
48409,azolla production,0
10368,information regarding the control of weeds in paddy,9
93728,asked about control of white grub attack,6
19602,fruit borer in brinjle,6
3494,leaf miner problem in tomato crop,6
80027,tell me about sucking pest control in cotton,6
8705,what can i use on mango plant blossomsfor protect to aphid and fungal attack,6
94845,asking about cow farming information,4
74440,fasal me janvar nukshan kar rhe hai,8
69687,asking about agriculture department chinnaselam contact number,0
31976,varieties of tomato,5
95647,asking about weather report for namakkal,8
82839,farmer needs information regarding weather for nowgong block of state madhya pradesh,8
53209,sichai sarso me 60 day ka ho gya h,6
9604,red rot in sugarcane corp,2
76036,pod borer insect in bangal gram,6
82392,tell me no paymeet in groundnut weating,2
23431,tell me about frost saving in cumin,6
99843,farmer need information regarding control measures of sucking pest attack in paddy crop,6
81926,leaf roller in cotton,6
80019,tell me variety of bottle gourd,5
60355,tell me nutrient management in paddy,5
73411,farmer needs information regarding weather for durg district of chhatishgarh state,8
29208,contact pik vima yojana,3
98860,asking about total duration of rice cr 1009 sub1,7
80603,tell me control of di back in plant,6
97983,information regrading to weather of bhiwani,8
32344,information about weather of mau,7
14603,farmer want to know information about weather of your umariya district,8
2969,weather informaiton of bareily,8
71831,bakanae problem in rice crop,6
22511,leaf webber and yellow spot on brinjal leaves,6
88994,tell me about insect control in mustard,6
87763,varieties of bottlegourd,6
50999,tell me mandi bhaw in jeera,4
25279,asked about fertilizer dose of mango crop,1
62681,farmer wants to know about how to increase flowering in soyabean crop,0
27569,hardoi ka mausam,8
38984,flower drop control in mosambi,6
45649,asking about the weather report of purbasthali2 blockbarddhaman,8
81656,government schemes information,3
100008,asking about maize spacing,0
41239,fertilizer information of sugarcane,1
60367,asking about ribbed gourd planting season,2
83068,growth regulater in paddy,8
768,variety of gingellytil,7
33443,farmer need weather information of vidisha district of madhya pradesh,8
80200,insect inmango crop,5
46080,asked about coconut tanjore wilt management,5
90948,weed management of onion crops,0
29982,early soot borer in sugarcane,6
89013,preventive measures for pink boll worm on cotton,6
92583,farmer wants to know information about weed management of black gram,9
19579,asking about caterpillar and thrips management in lab lab,6
57067,mango pest control,6
77166,asking about tomato mealy bug management,0
22481,information of pre emergence herbicide in the paddy,9
39908,weed control in groundnut,3
61353,weather information of agra,8
32390,ganne ki fasal ki go me keet laga hua hai,6
67509,tell me about garlic mandi bav,4
50339,asking about rat management for sugarcane field,1
97085,solarpamp par ke liye abedan kaha kare,3
20081,information regarding fertilizer dose in paddy,1
68414,cultural prectices of mango fruit,6
70935,farmer need information regarding control measures of caterpillars in sobean crop,6
53407,weather of mandi,2
83568,tell me about control in mosambi,6
65421,asking about weather report for dindigul district,8
89626,how to control caterpillar in paddy,6
96227,tell me root rot control in wheat,2
83240,asking about ant management in brinjal,6
96872,tell me about insactcontrol in whire ktwa,8
33762,weather information,8
95543,perinial grass in sugarcane,9
59491,farmer want to know information about weather forcast in satna distt,8
43104,farmer needs information regarding weed management of soyabean,9
19273,fungal control in lemon,6
45444,how to control caterpillars in soyabean crop,6
16272,asking about paddy season and varieties april may,7
40509,asking about planting season of papaya,0
65567,kisan credit banwana hai,3
52437,tell me control of bacterial blight disease in kalongi,6
1732,asked about lab lab aphid management,6
13235,siddharth nagar me mausam,8
95373,asking about weather report at thiruvanamalai,8
39048,attack of bollworm in cotton,6
64444,tell me termite control in papaya,6
84718,tell me about msp of bengal gram,4
65136,tell me mandi bhav of narma,4
53258,farmer need weather information of pandhurna tehsil in chhindwara district of madhya pradesh,8
30204,farmer want to know information about how to control caterpillar in urd,6
412,farmer asked about market rate of onion,4
12340,tell me insect control in jower,6
60605,aloe vera ki kheti kaise kare,6
52414,asking about fertilizer dose for ratoon sugarcane,2
12854,information regarding how to control maize borer in maize crop,6
65553,pasu ki jankari dai,3
87459,weed management in rice,9
18113,farmer needs information regarding weather information for panna of district of state madhya pradesh,8
45927,tell me about the contact number in mushroom training center in jaipur,4
67954,tell me about the control of white fly and aphid in cotton,6
73153,information about 3 hp solar pump subsidy,3
63360,asking about adt 51 paddy sowing season,7
89983,farmer need weather information of gadarwaratahsil of madhya pradesh,8
76426,asking about attack of caterpillar on cauliflower,6
26433,sucking pest problem in paddy,6
24635,bitter gourd nutrient management,5
57800,information regarding weather jind,8
85830,information regarding weather inb fatehabad,8
26465,asking about sesame varieties for villupuram district,7
4813,information regarding weed control in cabbage,0
17225,weather of chanduli,6
1742,plant protection in cucumber,6
34573,weather information of hamirpur,8
18092,barabankidewasarif me barish,8
98208,flower drop,0
56122,information regarding fertilizer dose of apple plants,1
52365,asking about beetroot top dressing fertilizer management,1
14848,doseage of zineb 68 hexaconazole 4 72 wp,6
26308,fruit borer in mustard,6
2932,control of caterpillar in bengal gram,6
12206,asking contact number of kvk satara,0
77997,asking about the control for weesd in rice field,0
89365,information regarding growth promoter in paddy,8
66891,asking about thoothukudi weather report,8
84191,tell me white grubs control of bajra,6
21536,asked about salem today weather report,9
76710,aphid problem in coriander,6
61802,farmer wants to know information about how to control of fungal attack in wheat crop,6
71247,weed management in mentha crop,0
38833,asking about pencil point disorder in coconut,1
68988,tell me mandi rate of jeera and mustard,4
43435,varieties of moong,7
43527,want to know about sheoraphuly market price of onion in hooghly district,4
3193,rust attack,1
33755,query not defined properly due to call disconnected,0
31599,tell me control of cut worn in brinjal,6
47472,growth promoter of urad,0
16423,asking about tindivanam villupuram weather report,8
85137,asking about top dressing fertilizer management in paddy,5
12133,kalijiri,8
23395,tell me insect insect control in gram,6
59377,tell me contact number in agri department churu,2
52866,weather information district farrukhabad,8
23735,tell me insect control in aloe vera,6
63283,asked about mango spacing details,5
78698,groth problem of sugarcane crop,6
40888,farmer wants to know information about weather forecast in vidisha district,8
15012,insect control in okara,6
84682,farmer wants to know information about increasing flower in soybean crop,0
82060,farmer wants to know information about weather for your sagar district,8
19438,prwal me galan ho rhi hai,6
