query_id,query,label
44840,Asking about spacing for cockscomb,0
4090,FRUIT DROPING.....?,6
38636,information about sugarcane.....?,5
86419,TELL ME DISEASE CONTROL IN PLANT ?,6
31051,TELL ME ABOUT THE ROOT ROT CONTROL OF  WATERMELON ?,6
20983,Asked about ADT 37 vellore market rate,4
85988,BENGAL GRAM DRY ROOT ROT MANAGEMENT,6
94049,Growth regulator in,6
19681,plant protection in ribbed crop ?,6
50739,asking about fusarium and anthracnose control in mango,6
69745,TELL ME CONTROL OF CUTWORM IN GRAM ?,6
68428,insect control  in paddy ...?,8
78836,Leaf spot control in onion?,6
50433,dhan me dushri urea ki top dresingh kab kare?,8
90831,sundi control in jowar ?,6
25878,growth of tomato ..?,1
30993,TELL ME NO FLOWER IN ORANGE AND KINNU,8
72977,how to control thrips in cotton crop?,6
27922,farmer want to know information about  how to increase growth of  green gram crop ?,2
83640,Farmer need weather information of rewa district of madhya pradesh.?,8
19923,WEED MANAGEMENT IN PADDY CROP?,9
27105,how to control SUCKING IN crop ?,6
2625,fertilizer managemnet infarmetion ?,6
14291,asking about Cauliflower suitable season,0
33693,Information regarding weather in HISAR ?,7
22435,no identified problem in sugarcane?,0
42652,ASKING ABOUT CULTIVATION OF BANANA,2
22784,Farmer want to know information about weather of Betul district?,8
46170,Fruit Borer,6
90678,TELL ME CONTACT NUMBER RAJFED   ?,2
7622,Asking about foliar spray in brinjal,5
87479,farmer wants to weather information of umaria district ?,3
37213,information for soil test?,5
65057,spre me urea kitani dale,1
1785,plant protection in arhar,8
82651,pest controle in maize ?,6
8716,ELL ME ABOUT WEATHER INFORMATION ?,8
78348,Leaf curling in ribbed gourd...?,8
52366,Information regarding recommended fertilizers dose in Paddy ?,0
85852,Information regarding to weather in dardi ?,8
73070,Asking about foliar nutrient spray mullai flower,6
35406,jad galan ki samsya ?,6
16340,RAINFALL FORECAST IN JHARBANDH (BARAGARH) DIST,8
3640,Asked about drip irrigation subsidy information,3
85262,vermi compost ki jankari leni hai,0
81001,Seed Rate of sunflower information ?,0
78011,Control of termites in flower plant ?,6
74978,TELL MEPEST CONTROL OF WHEAT,6
95062,Farmer want weather information ...??                                                                                                                                               there will,8
96410,kapas ka ful gir rha hai,2
31383,TELL ME DISEASE CONTROL IN   CITRUS ?,6
67529,Farmer needs information regarding for zirapur of rajgarh district  Of state madhya pradesh?,8
61238,asking about budworm management in jasmine,6
51028,STEM BORER IN BANANA,6
56162,Tell me about Weather information of Maharajganj?,8
28757,maize vairity ?,8
17742,weather information of mehnagar azamgarh?,8
17167,How to control tobacco caterpillars in brinjal crop?,6
55773,TELL ME APHID CONTROL IN MOSAMBI,6
88394,ASKING ABOUT THE DOSE OF MONOCROTOPHOS.,0
5827,Farmer need information regarding control measures of caterpillars & sucking pest in onion crop?,0
36158,Farmer needs information regarding weather for Ratlam dist.?,8
17992,Leaf Curl in Chillis Crop?,6
90986,Food Logistics Department Uttar Pradesh ?,4
37344,farmer wants to weather information of bhind district ?,8
8177,Asking about jack planting season,0
32662,FARMER ASKED FOR MEALY BUG ATTACK ON COTTON ?,6
86075,TELL ME CONTROL OF BLIGHT IN CUMIN ?,6
18558,About Brinjal variety information ?,8
60526,Powdery mildew in mango,6
27131,yellowing problem in wheat...?,6
39184,TELL ME INSECT CONTROL INGUAR,6
53120,Information regarding weather Sonipat?,8
63722,Asking about pumpkin caterpillar in Watermelon,6
51879,Farmer wants to know information about govt. schemes ?,3
22748,WEATHER REPORT OF CHHATNA BLOCK IN BANKURA DISTRICT.,8
3407,Information regarding about cankar diseases in apple?,6
28056,Early shoot borer in cane?,6
84065,ASKED ABOUT BACTERIAL WILT OF RIDGE GOURD.,6
45165,Asking about weather report tuticorin district,8
32067,Fruit falling problem in Bail plants..?,6
1943,TELL ME CONTROL OF FLOWER DROPING  IN CITRUS ?,6
81366,"Asking about Deputy Director of Horticulture,dharmapuri contact number",6
19621,TELL ME CUT WORM CONTROLE IN GRAM ?,6
38630,asked about Nagapattinam weather Report,5
28459,Asked about Brown spot in watermelon,5
45521,information regardingh how to control fangle disease in cotton ? .,2
18893,TELL ME NEMETOD CONTROL IN TOMATO ?,6
17502,Asking about green gram basal fertilizer management,5
75272,Information regarding control of nitrogen deficiency in gram ?,1
1335,Asked about Avalpoonthurai maize market rate,4
27017,informetion of kisan karj mafi ..?,3
39517,FOR FLOWERING ?,1
68594,weather of deoria  ?,6
49590,Flower drop problem in tomato?,6
59911,Information regarding weather report of Narkanda  ?,0
38562,TELL ME INSECT CONTROL OF BRINJAL ?,6
98055,Asking about Gummosis in drum stick,6
49082,Asking about groundnut market rate,4
46197,Farmer needs information regarding for Indore dist. Of state madhya pradesh?,8
94492,KANNAUJ ME VARISH KI JANKARI BATAO...?,8
88231,information about weather of Aligarah ?,8
74128,Farmer need weather information of your Ujjain district of madhya pradesh.?,8
69147,Asking about Mushroom Production training information,3
69684,Khara disease problem in paddy crop...?,0
81780,asking about Azolla seed availability information,7
99374,plant prtection of mango fruit..?,6
10642,weed problem in banana which intercropped with maize,6
36542,QUERY REGARDING TO LEAF CURLING IN CHILLY,6
11380,TELL ME INSECT FCONTROL IN COTTON ?,6
73315,ASKED ABOUT SUCCING INSECT OF OKRA CROP.,6
87429,SOIL TREATMENT INFORMATION,6
27567,ASKING ABOUT WEATHER REPORT OF SARENGA BLOCK IN  BANKURA DISTRICT .,8
41815,Red Spider mite in cotton,6
65731,ask about general information of cotton,0
9407,TELL ME TERMIET CONTROL IN COTTON,6
98303,TELL ME CONTROL OF CUT WORM IN GUAR,6
96520,WEATHER INFORMATION DUE TO WHEAT IRRIGATION...?,8
14467,kisan loan waiver?,0
48861,TELL ME DISEASE CONTROL IN WHEAT ?,6
11818,SITAPUR ME MAUSAM......?,8
82905,Weather Forecasting ?,8
66082,INFORMATION ABOUT MAIZE VARIETY,0
42509,asking about sericulture training information,0
32548,sahjan ka bij kaha milega ?,4
34667,Tell me about Weather information of Baghpat?,8
84994,ASKING ABOUT THE NUTRIENT MANAGEMENT IN RICE FIELD.,5
87964,ASKING ABOUT WEATHER REPORT AUSGRAM-II BLOCK IN BARDDHAMAN,8
6556,how to control SUCKING IN Tomato ?,6
23415,Information regarding Weather of karnal ?,8
21858,fruit rot in guava?,6
5732,tell me root rot conntrol in tomato,6
82089,Control of khaira disease of paddy crops ...?,6
26079,I WANT TO SPRAY ZINC SULPHATE AND UREA SPRAY IN DHAN CROP.,1
44449,sundi control in cottton  ?,6
55217,Information regarding weather in  fatehabad ?,8
74955,ASKING ABOUT WEED CONTROL IN PADDY.,9
26706,Asked about Thiruvannamalai today weather Report,8
90351,FARMER WANT TO KNOWN LIST OF VEGETABLE CROPS COMPONIES ?,8
15043,TELL ME MANGO PLANT GROWTH AFFACTED.,1
80322,sowing time of bajra..?,7
3780,ATTACK OF SUGARCANE PYRILLA ? ?????? ATTACK OF SUGARCANE WOOLY APHIDS ? ????? ???? ATTACK OF SUCKING PEST ? ?? ???? ???? Attack of Thrips ? ??????? ATTACK OF APHIDS ? ???? Attack of Jassids/Leaf hoppers ? ???????,8
48209,BEEKEEPING KE BARE ME JANKARI DE....?,3
17232,Disease problem in Bottle gaurd crop.....?,6
49179,Farmer wants to know information about How to control of fungal attack in Tomato crop?,0
40003,ASKED ABOUT MARKET PRICE OF JUTE IN Bethuadahari MARKET.,4
47458,FLOWER DROPPING in citrus,6
87552,thrips problem in lobia,6
89758,TELL ME  WEATHER INFORMATION,2
63943,pshu sambandhit jankari?,2
41087,Crop protection in ginger?,6
80915,TELL ME FLOWER DROPPING CONTROL IN MANGO,5
72265,cotton attack of redmight?,6
55527,Information regarding varities of groundnut?,7
83905,DHAN KI FASAL ME GROUTH KE LIYE KYA DALE ......?,6
60963,ROTTING PROBLEM IN POINTED GOURD,6
57240,Termite problem in Groundnut..?,6
25862,Asked about Anthracnose in banana,8
39269,weed control in paddy,0
78674,ONION KI JANKARI LENI HAI,6
88847,TELL ME WEED CONTROLE IN GROUNDNUT ?,9
65782,How to control caterpillars in soybean crop?,3
24860,Leaf disease control in Paddy crop ?,6
48305,Weather information...?,6
29205,Farmer needs information regarding weather information for DEWAS   district of state Madhya pradesh?,8
67230,weather information babina  jhansi?,8
97537,ASKING ABOUT THE WEATHER REPORT OF KULTALI BLOCK IN SOUTH 24PARGANAS DISTRICT,8
96017,information about wheat....?,0
56617,Asking about suitable marigold varieties,0
65187,asking about foliar application in rose,6
78030,farmer want to know information  about weather information at sheopur district in mp ?,8
85737,USE OF FERTILIZER AT SOWING TIME IN MANGO,1
8068,information regarding weather of solan ?,6
93169,Guvar (ClusterBean),2
44866,information regarding how to control wilt in tomato plants ?,6
90430,Asking about Beetle and Aphid management in cucumber,6
62017,ASKING ABOUT FERTILIZER DOSE ?,1
81010,CONTROL OF WHITE FLY IN ACID LIME,6
61624,TELL ME ABOUT DISEASE CONTROL IN CITRUS,6
92242,CHANDAULI KA MAUSAM BATAO.....?,8
40307,Asking about animal repellant,0
70624,TELL ME INSECT CONTROL IN  SOYABEAN,6
51708,TELL ME ABOUT GARLIC RATE IN RAMGANGH MANDI ?,4
27571,Asking about Cut worm pest and Bulb rot in small onion,6
64064,information about werather....?,8
18036,weed management during sowing?,0
25275,Information about weather ?,9
5865,asking about Leaf spot management in sorghum,6
8930,ASKED ABOUT  ROOT ROT IN CHILLY?,6
91054,Asking about Potassium Deficiency in banana,5
72327,attack of thrips on green gram ?,6
82562,information of weather....?,9
92568,"ASKING ABOUT WEATHER REPORT IN HOOGHLY DISTRICT,BALAGARH BLOCK",8
54084,Nutrient management of maize crops ...?,5
14747,Asking about weather forecast Bhokar Tahsil?,8
39410,TELL ME MARKET INFORMETION IN GRAM,3
93568,farmer want to know information about weather information in Seoni district?,8
85914,Asking about planting season for Arecanut,0
1881,query regarding antracnose of chilly,6
51593,CONTROL OF FUSARIUM WILT IN BHINDI,6
72660,askign about vellore weatehr today,8
55464,Farmer need information regarding control measures of white fly in moong crop.,6
20322,TELL ME ABOUT OF WEED CONTROL IN BAJRA,8
971,asking about Vellore today weather Report,7
41251,"pls, tell me weather information for talbehat?",8
89281,CONTACT NO. OF RAJFED,3
70851,Auraiya me Aalu bhaw kya hai?,4
48889,termite control in paddy..?,6
28023,pashu se phasalo ke bachav ke liye ?,6
62963,Asking about chilli Thrips management,6
99993,Grassy shoot disease in sugarcane...?,6
33377,information regarding how to control of termite in wheat?,5
54655,brown spot in paddy nursery ..,6
36774,Asking about fruit borer management in Brinjal,6
56678,TELL ME NO GROTH IN ONION,8
25366,Farmer wants to weather information of Your Burhanpur district ?,8
70307,New moong IPM 205-7 yield?,7
29502,For farmer registration: www.krishimis.in,2
8760,TELL ME ROOT ROT IN GROUNDNUT ?,8
43003,onion foliar application information,5
30743,CONTROL OF FRUIT ROT IN OKRA,6
70965,Asking about Madhuranthagam (kancheepuram) weather report,8
77119,Asking about black gram seed treatment information,1
71999,Remedy of Top borer in sugarcane?,8
9445,CONTROL OF FRUIT BORER IN BENGAL GRAM.,6
66716,Farmer wants to know information about weather of morena district?,8
13998,tip curling in mango leaf..?,6
74855,ATTACK OF PINK BOLLWORM ON COTTON ? Attack of White Grub ?,6
17676,asked about villupuram black gram market rate,5
73596,ASKING ABOUT FERTILISER DOSE FOR GREEN GRAM ?,1
64407,Information regarding how to control stem borer or leaf folder in paddy crop ?,6
27327,Asking about Assistant Director of Agriculture Chengam contact number,3
86191,weather information dilari moradabad?,8
3040,Weather Information District Fatehpur....?,8
74989,tell me Krishi Unnati Mela 2018,4
65969,TELL ME WEATHER INFORMATION OF NAGOUR MANDI,8
60815,ASKING ABOUT YOUNG FRUIT DROPS IN MANGO,6
88496,Information regarding weather of Solan?,8
8588,CONTROL OF WHTE FLY IN RIDGE GOURD,6
7121,Asking about leaf blight control management in coconut,6
34504,Information regarding  how to control fungal disease in bottle gourd crop ?,8
58381,TELL ME ABOUT OF INSECT CONTROL IN URD,6
80031,asking about Powdery mildew control in sesame,6
24637,TELL ME ABOUT NUTRIENT MANAGEMENT IN CITRUS,5
80526,TELL ME CONTACT NUMBER IN BEEKIPING,3
69945,TELL ME control of insect mosquito on fenugreek crop,6
17662,information in govt.scheme....?,3
30134,Farmer want to start his sms facility on his mobile number?,2
43160,Asked about tomato early blight management,6
42938,asking about stem rot control in watermelon,6
81359,Asked about leaf folder in paddy,8
77923,Asking about Chrysanthemum drip fertigation schedule,1
68804,askign about banana leaf blight management,6
998,asking about root rot management in groundnut,6
81380,ASKED ABOUT ATTACK CATERPILLAR ON TUR?,0
85225,Asking about yethapur research station contact number,0
42310,fungal problem in safed musli?,6
23218,Yellow leaf appear ?,5
33820,leaf cruling in papaya ...?,6
847,TELL ME VARIETY OF POTATO ?,0
86729,Plant protection of cauliflower?,6
11542,Aphid Attaik in Mustard?,6
85054,ask about general information,1
56976,weed control in ash gourd ?,6
60703,weed management of groundnut ?,9
68971,how to control white /yellow leaf of paddy ?,1
73765,information regarding fertilizer dose in cotton at sowing time ?,8
46610,Asking about Foliar spray in Pepper,5
94073,flower dropping problem in cucumber crop ?,5
4250,flower drop in pomegranate ?,5
50156,farmer want to know information about how to control defoliators in onion?,6
16860,Weather forecasting for bhikangao tehshil khargone district of Madhya Pradesh?,8
3136,Farmer needs information regarding mansoon forecast for his bhind district?,8
2929,PLANT PROTECTION OF PADDY ?,6
52461,beej kahan se prapt kre,3
84396,asked about weed control,9
30584,asking about papaya planting season,5
41728,TELL ME PATTI DHABBA IN LEMON,8
50120,how  to control fungal disease in cucumber ?,0
65657,mango information,6
27810,TELL ME ABOUT APHID CONTROL IN COTTON ?,6
37516,paddy crop blight information..?,6
3596,Weather information District Lalitpur...?,8
14263,DHAN KI PATTI PEELI PAD RAHI HAIN...?,6
14555,Asking about plant growth regulator in Snake gourd,5
93035,Farmer needs information regarding weather for Pandhurna BLOCK of state madhya pradesh?,8
92760,TELL ME ABOUT DISTANCE OF TOMATO ?,3
77795,aloe vera ki kheti ki jankari..?,0
44927,TELL ME CONTROL OF INSECT IN ISBAGOL ?,6
81742,Farmer needs information regarding weather information for Nagod tehsil in Satna district madhya pradesh state?,8
22683,Farmer wants to weather information of Sheopur district ?,8
94148,Asking about Rooted cuttings in Mullai plant,5
24494,plant gourth management of gram ?,1
98158,dhan ki kisme...?,7
44328,Asking about Foliar nutrient spray for pomegranate,5
18823,Farmer need weather information of khargone  district of madhya pradesh?,8
8204,farmer want to know information about weather  in  ratlam    dist. ?,8
59597,Asking about top dressing fertilizer management for Cotton,1
28451,DHAN ME WEED CONTROL.....?,9
51673,ASKING ABOUT THE WEATHER REPORT OF SWARUPNAGAR BLOCK IN NORTH 24PARGANAS DISTRICT,8
12499,Asking about leaf folder management in pepper,6
93704,Farmer needs information regarding weather information for chanderi/ ashoknagar district of state Madhya pradesh?,8
31622,Information regarding weed control of cotton crop ?,2
63379,narai keet In paddy crop ?,6
68779,Aphid problem in Coriander crop ....?,6
36454,farmer wants to knows information about weather forecasting in panna ?,8
75764,Plant growth Regulator in the groundnut  crops....?,0
52663,Asking about Aphid management in Groundnut,6
20857,Farmer  wants  to know information about how to control caterpillar in gram ?,6
43048,Asking about market rate for Paddy BPT,4
96513,FERTILIZER DOSE FOR GROUNDNUT ?,1
39638,TELL ME SUBSIDY ON FARM POND ?,8
31032,asking about ADT 43 paddy total duration,0
91673,Asking about Ground nut basal dressing fertilizer management,5
49851,chandan ki kheti ke bare me jankari de....?,3
82899,Insect management ?,0
67165,TELL ME ABOUT CONTROL OF WHITEGRUB IN GROUNDNUT ?,6
28135,animal problem in pea crop.,6
27798,Farmer needs information regarding weather information for Nagda tehsil in Ujjain district madhya pradesh state?,8
40462,How to increase size and production in paddy crop?,5
82455,information of animal husbandry..?,4
32638,BROWN PLANT HOPPER IN PADDY,6
82004,Farmer wants to know information about weather of Your sagar district ?,8
62235,weather information in bijnor  ?,8
37246,TELL ME ABOUT VARIETY OF BHINDI ?,6
28194,TELL ME ABOUT KOTA RAJFED CONTACT NUMBER ?,8
23186,Asking about Sowing season for coriander,5
54626,TELL ME CUT WORM CONTROL IN CUMIN,6
77473,Please tel me about weather information...... ?,8
6659,farmer want to know information about  how to increase growth of radish ?,0
29188,Asked about veterary training and research Thoothukudi  contact number,5
83838,information of waether in Deoria  ?,8
29775,TELL ME PEST CONTROL OF MUSK MELON,6
66303,seed treatment in sugarcane seed?,6
97817,Farmer wants to know information about weather forecast in Mungaoli subdistrict ?,8
19469,Information Of Weather   ?,8
81407,TELL ME NOHAR MANDI PRICE OF GRAM AND GUAR ?,4
67320,aam me baur nikal raha kya karen ?,6
84951,Boring information..?,3
44433,about fodder grassess and vetenary contact,0
33883,Information regarding weather report of thunag   ?,8
42346,ELL ME BLACK ROT CONTROL IN BHINDI,6
32840,weather infometion ....?,8
78630,PLZ TELL ME CONTROL OF FALARIS MINOR IN WHEAT,9
56317,How to control white fly in crop?,6
51320,Asking about Weather report for Oddanchathiram,8
55084,Asking about Suitable varieties for Paddy (April -May),7
65028,farmer wants to know information of pest controlin  tomato crop?,6
90557,Termaite Attaik in Paddy Crop?,6
36149,plant protection in cotton ?,8
64670,information about bengal gram .....?,6
74185,"plz, tell me weather information for karchana?",8
62902,ASKING ABOUT CONTROL OF BLIGHT IN COCONUT,6
90363,Asking about Green House subsidy information,8
39562,Farmer wants to weather information of bhind district ?,8
63173,"plz, tell me weather information for tahrouli?",8
53035,Nutrient management of Pomegranate crop ?,5
19270,aam ki pattiya kali ho rahi hai ?,6
12830,"GEHU ME CHICHI KARNI HAI,MAUSAM BATAO..?",8
97534,information regarding weather,5
32464,WHATHER INFORMATION ?,8
6731,Asking about Cumbu market price,4
43642,TELL ME INSECT CONTROL IN  CITRUS,6
83841,Farmer needs information regarding weather information for Vidisha district madhya pradesh state?,8
87370,Asking about Flower setting management in Tomato,5
95320,insect control in cane ?,6
44594,information regarding how to control of termite in Cotton?,6
55168,ganna gir gaya hai ?,0
48749,Information regarding how to control root borer in paddy crop ?,6
3502,Information regarding weather in JInd ?,8
29764,mausam ki jankari chaheye,2
77906,planting method in paddy crop..?,2
9335,how to control Insect in toray crops?,6
47423,Farmer needs information regarding weather information for sidhi district of state Madhya pradesh?,8
26453,farmer want to know information about weather of sagar district?,8
